Trading name,Owner's name,Current address,GPhC registration number,Status
Abbotswell Pharmacy,Ms Kiran Tait,"2 Abbotswell Crescent, Kincorth, ABERDEEN, Aberdeenshire, AB12 5AR, UK",1041591,Registered
Abbotswood Pharmacy,MJ Williams Limited,"38 Abbotswood, Yate, BRISTOL, Avon, BS37 4NG, UK",1028576,Registered
Abbott Pharmacy,Questpark Limited,"101 Colney Hatch Lane, Muswell Hill, LONDON, N10 1LR, UK",1040397,Registered
Abbotts Pharmacy,V C K P Limited,"83 High Street, Lindfield, HAYWARDS HEATH, West Sussex, RH16 2HN, UK",1037338,Registered
Aberdour Pharmacy,Omnicare Pharmacy Limited,"30 High Street, ABERDOUR, Fife, KY3 0SW, UK",1042042,Registered
Aberlour Pharmacy,Blackridge Pharma Ltd,"112 High Street, ABERLOUR, Banffshire, AB38 9NX, UK",1041912,Registered
Abersychan Pharmacy,Avicenna Retail Ltd,"Bristol House, 14-15 Broad Street, Abersychan, PONTYPOOL, Gwent, NP4 7BQ, UK",1043445,Registered
Abington Pharmacy,Abington Pharmacy Ltd,"51f Beech Avenue, NORTHAMPTON, Northamptonshire, NN3 2JG, UK",1035448,Registered
Abram Pharmacy,KYK Healthcare Limited,"358 Warrington Road, Abram, WIGAN, Lancashire, WN2 5XA, UK",1033984,Registered
Access Pharmacy,Apple & Way Limited,"38 Grovebury Road, Abbey Wood, LONDON, SE2 9BB, UK",1040747,Registered
Accrington Pharmacy,Accrington Pharmacy Limited,"257 Whalley Road, ACCRINGTON, Lancashire, BB5 5AD, UK",1033064,Registered
Ace Chemist Direct,Ace Direct Ltd,"1st Floor, 245 Entwisle Road, ROCHDALE, Lancashire, OL16 2LJ, UK",1099897,Registered
Ace Pharmacy,Exchanging Ltd,"1-3 Ace Parade, Hook Road, CHESSINGTON, Surrey, KT9 1DR, UK",1036437,Registered
Acer Road Pharmacy,Wickham Market Medical Centre Ltd,"6 Acer Road, Rendlesham, WOODBRIDGE, Suffolk, IP12 2GA, UK",1111207,Registered
Acheason Pharmacy,Acheason Pharmacy Ltd,"273 High Road, Leytonstone, LONDON, E11 4HH, UK",1040141,Registered
Ackers Chemists Ltd.,Ackers Chemists Ltd,"90-92-94 Church Road, SWANSCOMBE, Kent, DA10 0HF, UK",1032957,Registered
Acklam Road Pharmacy,Sharief Healthcare Limited,"89 Acklam Road, MIDDLESBROUGH, Cleveland, TS5 5HR, UK",1029930,Registered
Acorn Pharmacy,12/14 Pharmacy Ltd.,"The Oak Tree Centre, 1 Oak Drive, HUNTINGDON, Cambridgeshire, PE29 7HN, UK",1091102,Registered
Acorn Pharmacy,Accrington Late Night Pharmacy Limited,"406 Blackburn Road, ACCRINGTON, Lancashire, BB5 1SA, UK",1109706,Registered
Acorn Pharmacy,Acorn Pharmacy Limited,"95 Locks Hill, FROME, Somerset, BA11 1NG, UK",1073973,Registered
Acorn Pharmacy,ADM Healthcare Limited,"41 Castle Drive, WILLENHALL, West Midlands, WV12 4QY, UK",1124547,Registered
Acorn Pharmacy,Dallow Road Retail Limited,"138 Dallow Road, LUTON, Bedfordshire, LU1 1NE, UK",1085861,Registered
Acorn Pharmacy,HR Pharm Limited,"256 High Street, BERKHAMSTED, Hertfordshire, HP4 1AQ, UK",1074893,Registered
Acorn Pharmacy,R&N Healthcare Ltd,"Unit 9 Bushmead Retail Park, Bushmead, LUTON, Bedfordshire, LU2 7SF, UK",1028850,Registered
Acorn Pharmacy,VRAJ PHARM LTD,"8-10 Main Road, Jacksdale, NOTTINGHAM, Nottinghamshire, NG16 5JW, UK",1035692,Registered
Acorn Pharmacy,VRAJ PHARM LTD,"Unit 2, Remembrance Road, COVENTRY, West Midlands, CV3 3DP, UK",1089181,Registered
Acorn Pharmacy,YSIM Pharma Limited,"641 Watford Way, Mill Hill, LONDON, NW7 3JR, UK",1040637,Registered
Acre Pharmacy,Dickinsons Chemist Ltd,"80 New Hey Road, HUDDERSFIELD, West Yorkshire, HD3 4AJ, UK",1039618,Registered
Adams Pharmacy,Adams Healthcare Limited,"50-51 Nechells Park Road, Nechells, BIRMINGHAM, West Midlands, B7 5PR, UK",1092952,Registered
Adams Pharmacy,Ansar Mahmood & Saqab Zahid,"169 Mossley Road, ASHTON-UNDER-LYNE, Lancashire, OL6 6NE, UK",1116832,Registered
Adarshi Pharmacy,Targetgrange Ltd,"485-487 Norwood Road, LONDON, SE27 9DJ, UK",1040967,Registered
Addiscombe Pharmacy,Ampharm Ltd,"331 Lower Addiscombe Road, CROYDON, CR0 6RF, UK",1121245,Registered
Adel Pharmacy,M & B Healthcare Ltd,"141 Long Causeway, LEEDS, West Yorkshire, LS16 8BX, UK",1039761,Registered
Adelaide Pharmacy Ltd,Pharmalpha Limited,"The Adelaide Health Centre, Western Community Hospital, William Macleod Way, SOUTHAMPTON, Hampshire, SO16 4XE, UK",1104564,Registered
Adell Pharmacy,Macol Ltd,"392 Long Lane, Hillingdon, UXBRIDGE, Middlesex, UB10 9PG, UK",1035173,Registered
