Trading name,Owner's name,Current address,GPhC registration number,Status
Alpha Chemist,Abdul Ghafoor,"7 Green'S End, Woolwich, LONDON, SE18 6HX, UK",1116649,Registered
Alpha Chemist,Ravalia Pharm Ltd,"480 Church Road, NORTHOLT, Middlesex, UB5 5AU, UK",1035051,Registered
Alpha Pharmacy,Alpha Pharmacy Limited,"18 Commerce Road, Wood Green, LONDON, N22 8ED, UK",1040518,Registered
Alpha Pharmacy,Alpharm Limited,"468 Stafford Road, Oxley, WOLVERHAMPTON, West Midlands, WV10 6AN, UK",1038627,Registered
Alpha Pharmacy,NS Pharma Limited,"193 Edgware Road, The Hyde, LONDON, NW9 6LP, UK",1040656,Registered
Alpharm Chemist,Abdul Ghafoor,"116 Plumstead High Street, Plumstead, LONDON, SE18 1SJ, UK",1094661,Registered
Alpharm Chemist Ltd.,Mehboob Fatehalli Vaiya,"224 Loughborough Road, LEICESTER, Leicestershire, LE4 5LG, UK",1034092,Registered
Alphington Pharmacy,George Wickham Limited,"25 Ide Lane, Alphington, EXETER, Devon, EX2 8UP, UK",1092191,Registered
Alrewas Pharmacy,Alrewas Pharmacy Limited,"120A Main Street, Alrewas, BURTON-ON-TRENT, Staffordshire, DE13 7AE, UK",1036890,Registered
Alsager Pharmacy,Sharief Healthcare Limited,"25 Lawton Road, Alsager, STOKE-ON-TRENT, Staffordshire, ST7 2AA, UK",1037048,Registered
Al-Shafa Pharmacy,Avantgarde Pharma Ltd,"Unit 2-3, 41 Caldmore Green, WALSALL, WS1 3RW, UK",1110406,Registered
Al-Shafa Pharmacy,Ipharma Ltd,"267 Dewsbury Road, Beeston, LEEDS, West Yorkshire, LS11 5HZ, UK",1104967,Registered
Al-Shifa Pharmacy,Tri Healthcare (UK) limited,"Unit 8, 164 Lozells Road, BIRMINGHAM, B19 2SX, UK",1109929,Registered
Alston Pharmacy,Alston Pharmacy Limited,"Front Street, ALSTON, Cumbria, CA9 3QP, UK",1030132,Registered
Alsyed Pharmacy,YORK ROAD ENTERPRISES LTD,"230 York Road, LEEDS, West Yorkshire, LS9 9BP, UK",1039850,Registered
Altwood Pharmacy,Altwood Pharmacy Ltd.,"47 Wootton Way, MAIDENHEAD, Berkshire, SL6 4QZ, UK",1028931,Registered
Alveston Pharmacy,Matrix Pharmacy Ltd,"2 Greenhill Parade, Alveston, BRISTOL, Avon, BS35 3LU, UK",1094101,Registered
Alvin Rose Pharmacy,Unique Trading Ltd,"606 Longbridge Road, DAGENHAM, Essex, RM8 2AJ, UK",1031144,Registered
Alway Pharmacy,Tower Pharmacy Ltd,"5 Aberthaw Rise, Alway, NEWPORT, Gwent, NP19 9PT, UK",1098324,Registered
Alwoodley Pharmacy,Sutton Chase Ltd,"2 The Avenue, Alwoodley, LEEDS, West Yorkshire, LS17 7BE, UK",1039672,Registered
Amadis Chemist,Kenneth Amadi,"107 Abbey Street, Bermondsey, LONDON, SE1 3NP, UK",1040710,Registered
Amal Pharmacy,PharmaEthical Ltd,"Unit 3 Metcalfe Court, West Parkside, LONDON, SE10 0EL, UK",1101483,Registered
Aman Pharmacy J.A. Jones Limited,Aman Pharmacy (J.A.Jones) Limited,"70 Cwmamman Road, Glanamman, AMMANFORD, Dyfed, SA18 1DJ, UK",1043210,Registered
Amber Pharmacy,Amber Pharm Ltd,"Four Lane Ends, Horsley Woodhouse, ILKESTON, Derbyshire, DE7 6AX, UK",1092960,Registered
Ambrose Pharmacy,Prettygate Limited,"76 Ambrose Avenue, COLCHESTER, CO3 4LN, UK",1119466,Registered
Amco (Medway) Ltd.;,Amco (Medway) Ltd,"Bryant Road Pharmacy, 59-61 Bryant Road, Strood, ROCHESTER, Kent, ME2 3EP, UK",1032899,Registered
Amin Pharmacy,Carunion Ltd,"285-287 Brockley Road, Brockley, LONDON, SE4 2SA, UK",1040762,Registered
Amin Pharmacy,Mukesh Maganbhai Patel,"10 Kingsley Road, HOUNSLOW, Middlesex, TW3 1NP, UK",1034951,Registered
Amy Pharma Ltd,Amy Pharma Ltd,"53 Park Road, Crouch-End, LONDON, N8 8SY, UK",1040377,Registered
Anachem Pharmacy,P & U Mangal Limited,"210 Chessington Road, West Ewell, EPSOM, Surrey, KT19 9XA, UK",1036553,Registered
Ancora Healthcare Limited,Ancora Healthcare Limited,"291 Ashby Road, SCUNTHORPE, South Humberside, DN16 2AB, UK",1116386,Registered
Anderson & Spence,Anderson & Spence Ltd,"31 Fountainhall Road, ABERDEEN, Aberdeenshire, AB15 4EW, UK",1041602,Registered
Anderson Chemist,Parkfield Pharmacy Ltd,"311 Dudley Road, Fighting Cocks, WOLVERHAMPTON, West Midlands, WV2 3JY, UK",1038589,Registered
Andres Pharmacy,Greystone Limited,"261 Preston Road, HARROW, Middlesex, HA3 0PS, UK",1034998,Registered
Andrew Bass Pharmacy,Goodcare Dusks Ltd,"1148 Green Lane, Becontree Heath, DAGENHAM, Essex, RM8 1BP, UK",1031140,Registered
Andrew Hughes Chemist,Cmam Pharmacy Limited,"Unit 4, Bridgewater Shopping Centre, ERSKINE, Renfrewshire, PA8 7AA, UK",1042876,Registered
Andrew J. Hales Pharmacy,Tandy Inc Limited,"35 St Isan Road, Heath, CARDIFF, South Glamorgan, CF14 4LU, UK",1043711,Registered
Andrew McCoig Pharmacy,Dejure Ltd,"367 Brighton Road, SOUTH CROYDON, Surrey, CR2 6ES, UK",1036743,Registered
Andrew McCoig Pharmacy,Medipharmacy Limited,"143 Wickham Road, Shirley, CROYDON, Surrey, CR0 8TE, UK",1036525,Registered
Andrew Phillips Pharmacy,AWJP Pharmacy Ltd,"24 Church Road, Ton Pentre, PENTRE, Mid Glamorgan, CF41 7EB, UK",1043581,Registered
Andrew Tylee Ltd.;,Andrew Tylee Limited,"25 Hyde Park Road, LEEDS, West Yorkshire, LS6 1PY, UK",1039751,Registered
Andrew; C.W.,Shilcroft Limited,"32 High Road, East Finchley, LONDON, N2 9PJ, UK",1040317,Registered
Andrews Chemists,Mapak Chemists Ltd,"104 High Street, WARE, Hertfordshire, SG12 9AP, UK",1032357,Registered
Andrews Pharmacy,Norman Waidhofer,"149b Sloane Street, LONDON, SW1X 9BZ, UK",1040993,Registered
Andrews Pharmacy,Questpark Limited,"9 Canons Corner, EDGWARE, Middlesex, HA8 8AE, UK",1034842,Registered
Andrews Pharmacy Ltd,Andrews Pharmacy Ltd,"71 Kennedy Avenue, MACCLESFIELD, Cheshire, SK10 3DE, UK",1112026,Registered
Angies Chemist,Med X Drug Ltd,"3 High Street, PINNER, Middlesex, HA5 5PJ, UK",1035078,Registered
Angie's Pharmacy,Anikchem Limited,"96 Craven Park, Harlesden, LONDON, NW10 4AG, UK",1040675,Registered
Anglesea Healthy Living Centre,Amco (Medway) Ltd,"1 Kent Road, St. Mary Cray, ORPINGTON, Kent, BR5 4AD, UK",1097324,Registered
Anji's Pharmacy,Anji's Pharmacy Limited,"335 Lea Bridge Road, LONDON, E10 7LA, UK",1040124,Registered
Anlaby Road Pharmacy,PHARMEDIX LTD,"442 Anlaby Road, HULL, North Humberside, HU3 6QP, UK",1032048,Registered
Anmol Pharmacy,Anmolharsukh Limited,"97 North Road, SOUTHALL, Middlesex, UB1 2JW, UK",1106485,Registered
Anna Pharmacy,Anna Healthcare Ltd,"398 Green Wrythe Lane, CARSHALTON, Surrey, SM5 1JF, UK",1036459,Registered
Annfield Plain Pharmacy,Avicenna Retail Ltd,"3 West Road, Annfield Plain, STANLEY, County Durham, DH9 7XA, UK",1029497,Registered
Anstey Road Pharmacy,Anstey Road Business Limited,"Alton Health Centre, Anstey Road, ALTON, Hampshire, GU34 2QX, UK",1108930,Registered
Anstice Pharmacy,Avicenna Retail Ltd,"7 Anstice Square, Madeley, TELFORD, Shropshire, TF7 5BD, UK",1100144,Registered
APA Ltd,APA Ltd.,"8 Alder Drive, Hoghton, PRESTON, Lancashire, PR5 0AD, UK",1091671,Registered
Apek Pharmacy,Way-Step Ltd,"107 Praed Street, LONDON, W2 1NT, UK",1041373,Registered
Apex Pharmacy,Apex Pharm Ltd,"Suite 1, 177 Lees Road, OLDHAM, OL4 1JP, UK",1116171,Registered
Apex Pharmacy,GB Healthcare Ltd,"199 Old Street, LONDON, EC1V 9NP, UK",1040248,Registered
Apex Pharmacy,GB Healthcare Ltd,"204 Essex Road, LONDON, N1 3AP, UK",1040296,Registered
Apollo Pharmacy,Hamilton Portman Ltd,"5A Park Square, Milton, ABINGDON, Oxfordshire, OX14 4RR, UK",1112088,Registered
Apple Pharmacy,Apple Healthcare Edinburgh Ltd,"65-67 Dalry Road, EDINBURGH, Midlothian, EH11 2BZ, UK",1042651,Registered
Apple Pharmacy,Thistle Med Ltd,"11 Mossvale Crescent, GLASGOW, Lanarkshire, G33 5NZ, UK",1089756,Registered
Apple Tree Pharmacy,Maurice Anthony Ltd,"6 Chelmer Village Centre, CHELMSFORD, Essex, CM2 6RF, UK",1031068,Registered
Applegate Pharmacy,Paul Applegate Ltd.,"132 Alfreton Road, NOTTINGHAM, Nottinghamshire, NG7 3NS, UK",1035596,Registered
Appleton Village Pharmacy,Aim Rx Ltd,"Appleton Village, WIDNES, Cheshire, WA8 6EQ, UK",1117026,Registered
Appley Bridge Pharmacy,Langho Pharmacy Ltd,"53 Woodnook Road, Appley Bridge, WIGAN, Lancashire, WN6 9JR, UK",1089958,Registered
Apteka Chemist,DOZ UK Limited,"179 Seven Sisters Road, Finsbury Park, LONDON, N4 3NS, UK",1040338,Registered
Aqsa Pharmacy,Aqsa And Ryemead Pharmacy Limited,"91 London Road, HIGH WYCOMBE, Buckinghamshire, HP11 1BU, UK",1082873,Registered
Aqua Chemist,Wellcare (Harrow Weald) Ltd,"55 Bounces Road, Edmonton, LONDON, N9 8JE, UK",1040381,Registered
Aqua Pharmacy,Aqua Pharmacy Ltd,"52 Duke Street, IPSWICH, IP3 0AQ, UK",1115618,Registered
Aqua Pharmacy,Naspram Pharma Limited,"59 Mill Lane, West Hamstead, LONDON, NW6 1NB, UK",1123406,Registered
Aqueduct Pharmacy,Advance Pharmacies Ltd,"Majestic Way, TELFORD, Shropshire, TF4 3RB, UK",1091922,Registered
ARC Pharmacy,Avicenna Retail Ltd,"Portholme Road, SELBY, North Yorkshire, YO8 4QH, UK",1038999,Registered
Arches Pharmacee,Medic8 Health Group Ltd,"Attenborough Court Owen Square, Aldenham Road, Opposite Bushey Station, WATFORD, WD19 4FN, UK",1116527,Registered
Archway Pharmacy,High Street Healthcare Limited,"19-21 Kimberworth Road, ROTHERHAM, South Yorkshire, S61 1AB, UK",1039222,Registered
Ardersier Pharmacy,John Ross (Chemists) Ltd.,"10 High Street, Ardersier, INVERNESS, Inverness-Shire, IV2 7QB, UK",1042149,Registered
Areley Kings Pharmacy,Matrix Pharmacy Ltd,"38 Areley Common, Areley Kings, STOURPORT-ON-SEVERN, Worcestershire, DY13 0NQ, UK",1093384,Registered
Ariana Pharmacy,Aiam Limited,"472 Greenford Road, GREENFORD, Middlesex, UB6 8SQ, UK",1117685,Registered
Arlesey Pharmacy,Shivson Limited,"31 High Street, ARLESEY, Bedfordshire, SG15 6RA, UK",1028782,Registered
Arley Pharmacy,Arley Primary Care Services Limited,"Rowland Court Community Centre, Arley, COVENTRY, Warwickshire, CV7 8PF, UK",1116812,Registered
Arlington Road Pharmacy,Arlington Road Healthcare LLP,"Arlington Road Medical Practice, 1 Arlington Road, EASTBOURNE, East Sussex, BN21 1DH, UK",1118305,Registered
Armada Pharmacies Ltd,Armada Pharmacies Ltd,"1 Drake House, Drake Road, Chafford Hundred, GRAYS, Essex, RM16 6RX, UK",1085011,Registered
Armley Pharmacy,Armley Enterprises Ltd,"62 Armley Ridge Road, LEEDS, West Yorkshire, LS12 3NP, UK",1039674,Registered
Armley Pharmacy,Basit Hussain,"90-91A Town Street, Armley, LEEDS, LS12 3HD, UK",1112065,Registered
Armstrong Pharmacy,Hyperchem Limited,"279 Green Lanes, LONDON, N4 2EX, UK",1114285,Registered
Armstrong's Pharmacy,N. Armstrong Ltd,"867-9 Gleadless Road, SHEFFIELD, South Yorkshire, S12 2LG, UK",1039303,Registered
Arnolds Pharmacy,Arnolds Pharmacy Limited,"21 Nelson Road, Westward Ho, BIDEFORD, Devon, EX39 1LF, UK",1030681,Registered
Arran Pharmacy,Arran Pharmacy Ltd,"Brodick, ISLE OF ARRAN, Ayrshire, KA27 8AJ, UK",1041827,Registered
Arran Pharmacy Ltd,Arran Pharmacy Ltd,"Redhouse Pharmacy, Lamlash, Brodick, ISLE OF ARRAN, KA27 8LS, UK",1041930,Registered
Arran Pharmacy Ltd,Arran Pharmacy Ltd,"Shore Road, Whiting Bay, Brodick, ISLE OF ARRAN, KA27 8PR, UK",1041931,Registered
Arrowedge Ltd.,Arrowedge Ltd,"12 Neighbourhood Centre, Culliford Crescent, POOLE, Dorset, BH17 9DW, UK",1030585,Registered
Arrowedge Ltd.,Arrowedge Ltd,"188b The Broadway, Lower Blanford Road, BROADSTONE, Dorset, BH18 8DP, UK",1030469,Registered
Arrowedge Ltd.,Arrowedge Ltd,"62 Poole Road, Westbourne, BOURNEMOUTH, Dorset, BH4 9DZ, UK",1030509,Registered
Arun Valley Pharmacy,Medaldi Limited,"38 Station Road, BILLINGSHURST, West Sussex, RH14 9SE, UK",1111225,Registered
Ascot Pharmacy,Pillbox Chemists Ltd,"17 Brockenhurst Road, South Ascot, ASCOT, Berkshire, SL5 9DJ, UK",1028895,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Highwood Lane, Patchway, BRISTOL, Avon, BS34 5TL, UK",1028656,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda, Holmer Farm Way, HIGH WYCOMBE, Buckinghamshire, HP12 4NU, UK",1029125,Registered
Asda Pharmacy,Asda Stores Ltd,"Derby Road, Spondon, DERBY, Derbyshire, DE21 7UY, UK",1030344,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda, Parkhouse Road, CARLISLE, Cumbria, CA3 0JQ, UK",1030181,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Superstore, Burton Road, KENDAL, Cumbria, LA9 7JA, UK",1030203,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Stores Ltd, Allensway, Thornaby Shopping Centre, THORNABY, Cleveland, TS17 9EN, UK",1030007,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Superstore, Marina Way, HARTLEPOOL, Cleveland, TS24 0XR, UK",1029909,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Eastgate Shopping Centre, BASILDON, Essex, SS14 1JH, UK",1031026,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Store, Unit 4 Merrielands Crescent, DAGENHAM, Essex, RM9 6SR, UK",1031147,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstores (Foyer), North Shoebury Road, Shoeburyness, SOUTHEND-ON-SEA, Essex, SS3 8DA, UK",1031421,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda, Bruton Way, GLOUCESTER, Gloucestershire, GL1 1DS, UK",1031551,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Superstore, West Meade, FARNBOROUGH, Hampshire, GU14 7LT, UK",1031729,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Kingswood Retail Park, Bude Road, HULL, HU7 3DA, UK",1032062,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Store, Main Road, Bilton, HULL, North Humberside, HU11 4AL, UK",1032113,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Odhams Trading Estate, St Albans Road, WATFORD, Hertfordshire, WD24 7RS, UK",1032403,Registered
Asda Pharmacy,Asda Stores Ltd,"Holles Street, GRIMSBY, South Humberside, DN32 9DL, UK",1032480,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Phoenix Centre, Lloyds Road, CORBY, Northamptonshire, NN17 5DT, UK",1035402,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Store, Cowpen Road, BLYTH, Northumberland, NE24 4LZ, UK",1035833,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Superstore, Radford Road, Hyson Green, NOTTINGHAM, Nottinghamshire, NG7 5FP, UK",1035714,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, 184 Loughborough Road, West Bridgford, NOTTINGHAM, Nottinghamshire, NG2 7HZ, UK",1035677,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Creechbarrow Road, TAUNTON, Somerset, TA1 2AN, UK",1036348,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Superstore, Crumbles Harbour Village, Pevensey Bay Road, EASTBOURNE, East Sussex, BN23 6JH, UK",1036183,Registered
Asda Pharmacy,Asda Stores Ltd,"Pharmacy Department, c/o Asda, The Marina, BRIGHTON, East Sussex, BN2 5UT, UK",1036140,Registered
Asda Pharmacy,Asda Stores Ltd,"Old Potts Way, SHREWSBURY, Shropshire, SY3 7ET, UK",1036047,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda, Marlow Way, CROYDON, Surrey, CR0 4XS, UK",1036515,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Store, Wolstanton Retail Park, Wolstanton, NEWCASTLE, Staffordshire, ST5 0AP, UK",1036954,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda, Goddard Road, IPSWICH, Suffolk, IP1 5PD, UK",1037167,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Superstore, Metro Centre Retail Park, Gibside Way; Metrocentre, GATESHEAD, Tyne and Wear, NE11 9YA, UK",1037469,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Stores, Hollywood Avenue, Gosforth, NEWCASTLE UPON TYNE, Tyne and Wear, NE3 5BU, UK",1037558,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Superstore, Acle New Road, Vauxhall, GREAT YARMOUTH, Norfolk, NR30 1SF, UK",1035234,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Store, Ormskirk Road, Aintree, LIVERPOOL, Merseyside, L10 3LN, UK",1034552,Registered
Asda Pharmacy,Asda Stores Ltd,"Narborough Road South, Braunstone, LEICESTER, Leicestershire, LE3 2LL, UK",1034118,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Barwell Lane, HINCKLEY, Leicestershire, LE10 1SS, UK",1034003,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Superstore, Soho Street, WIGAN, Lancashire, WN5 0XA, UK",1033982,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstores, Fullwood District Centre, Fullwood, PRESTON, Lancashire, PR2 9PR, UK",1033813,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda, Pilsworth Road, BURY, Lancashire, BL9 8RS, UK",1033287,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Superstore, Princess Way, BURNLEY, Lancashire, BB12 0EQ, UK",1033319,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda, Ovangle Road, LANCASTER, Lancashire, LA1 5JR, UK",1033395,Registered
Asda Pharmacy,Asda Stores Ltd,"Brackley Street, Farnworth, BOLTON, Lancashire, BL4 9DT, UK",1033134,Registered
Asda Pharmacy,Asda Stores Ltd,"Halbeath Road, DUNFERMLINE, Fife, KY11 4LP, UK",1042071,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Carberry Place, Mitchleson Industrial Estate, KIRKCALDY, Fife, KY1 3NG, UK",1042097,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Superstore; Forge Cnt., 1300 Duke Street, Parkhead Forge, GLASGOW, Lanarkshire, G31 4EB, UK",1042337,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Jesmond Drive, Bridge Of Don, ABERDEEN, Aberdeenshire, AB22 8WQ, UK",1041617,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore Shopping Ctr, Aberdeen South Approach, Portlethen, ABERDEEN, Aberdeenshire, AB12 4XP, UK",1041631,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Superstore, 130 Chase Side, Southgate, LONDON, N14 5PW, UK",1040431,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda; Park Royal Ind. Estate, Park Royal Road, Ealing, LONDON, NW10 7LW, UK",1040690,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Roehampton Vale, Roehampton, LONDON, SW15 3DT, UK",1041159,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA, Aldwarke Lane, ROTHERHAM, South Yorkshire, S65 3SW, UK",1039193,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Superstore, Bradford Road, HUDDERSFIELD, West Yorkshire, HD2 2LQ, UK",1039587,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda, Jack Haywood Way Off Waterloo Road, WOLVERHAMPTON, West Midlands, WV1 4DE, UK",1038609,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Supers Ltd, Brickhouse Lane South, Great Bridge, TIPTON, West Midlands, DY4 7HW, UK",1038595,Registered
Asda Pharmacy,Asda Stores Ltd,"Walmley Ash Road, Minworth, SUTTON COLDFIELD, West Midlands, B76 1XL, UK",1038453,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Coventry Road, Small Heath, BIRMINGHAM, West Midlands, B10 0HH, UK",1037935,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda, Newtown Road, NUNEATON, Warwickshire, CV11 4FL, UK",1037810,Registered
Asda Pharmacy,Asda Stores Ltd,"North Road, Boldon Colliery, Tyne & Wear, NE35 9AR, UK",1037690,Registered
Asda Pharmacy,Asda Stores Ltd,"The Hypermarket, Whitley Road, Benton, WHITLEY BAY, Tyne and Wear, NE12 9HN, UK",1037745,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Store, Sturry Road, CANTERBURY, Kent, CT1 1DG, UK",1084980,Registered
Asda Pharmacy,Asda Stores Ltd,"Wednesbury Oak Road, TIPTON, West Midlands, DY4 0BP, UK",1084698,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Greehithe Station Road, GREENHITHE, Kent, DA9 9BT, UK",1085051,Registered
Asda Pharmacy,Asda Stores Ltd,"Sefton Hospital Site, Smithdown Road, LIVERPOOL, Merseyside, L15 3JR, UK",1086451,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Stores Ltd, Warren Street, STOCKPORT, Cheshire, SK1 1UA, UK",1086313,Registered
Asda Pharmacy,Asda Stores Ltd,"Marshall Road, Leyton High Street, LONDON, E10 5NH, UK",1086063,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Store, Brade Drive, COVENTRY, West Midlands, CV2 2PN, UK",1086146,Registered
Asda Pharmacy,Asda Stores Ltd,"Crowhurst Road, BRIGHTON, East Sussex, BN1 8AF, UK",1086212,Registered
Asda Pharmacy,Asda Stores Ltd,"Murray Street, LLANELLI, Carmarthenshire, SA15 1BX, UK",1087817,Registered
Asda Pharmacy,Asda Stores Ltd,"Sportcity, Ashton New Road, MANCHESTER, Lancashire, M11 4BD, UK",1087145,Registered
Asda Pharmacy,Asda Stores Ltd,"Mostyn Broadway, Conwy Road, LLANDUDNO, Gwynedd, LL30 1PJ, UK",1089920,Registered
Asda Pharmacy,Asda Stores Ltd,"Thrum Hall Lane, HALIFAX, West Yorkshire, HX1 4JT, UK",1088812,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Longwood Drive, CORYTON, Cardiff, CF14 7EW, UK",1089352,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Haydon Orbital Shopping Park, SWINDON, Wiltshire, SN25 4BG, UK",1090789,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Dome Leisure Park, DONCASTER, Yorkshire, DN4 5NW, UK",1090790,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Owlcotes Shopping Centre, PUDSEY, West Yorkshire, LS28 6AN, UK",1090791,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Edgeware Road, Colindale, LONDON, NW9 0AS, UK",1090792,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Old Mill Lane, BARNSLEY, South Yorkshire, S71 1LN, UK",1090793,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Atherleigh Way, LEIGH, Lancashire, WN7 5RZ, UK",1090588,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Stores, St Pauls Road, BOURNEMOUTH, Dorset, BH8 8DL, UK",1082653,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Leechmere Road Industrial Estate, Grangetown, SUNDERLAND, Tyne and Wear, SR2 9TT, UK",1073433,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Forty Lane, WEMBLEY, Middlesex, HA9 9EX, UK",1072894,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Riverside Retail Park, Off Pilkington Way, MANCHESTER, Lancashire, M26 3DA, UK",1072895,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Sea View Road, Liscard, WALLASEY, Merseyside, CH45 4NZ, UK",1072896,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Saughs Road, Robroyston, GLASGOW, Lanarkshire, G33 1PR, UK",1074455,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Pontygwindy Road, CAERPHILLY, Mid Glamorgan, CF83 3SX, UK",1043540,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Superstore, Pontprennau; Derring Road, North Pentwyn, CARDIFF, South Glamorgan, CF23 8NL, UK",1043733,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda Store, 100 The Jewel, Brunstane, EDINBURGH, Midlothian, EH15 3AR, UK",1042687,Registered
Asda Pharmacy,Asda Stores Ltd,"Asda, Dunkeld Road, PERTH, Perthshire, PH1 5AP, UK",1042825,Registered
Asda Pharmacy,Asda Stores Ltd,"ASDA Superstore, 1 Tryst Road, Cumbernauld, GLASGOW, Lanarkshire, G67 1JW, UK",1042513,Registered
Asda Pharmacy,Asda Stores Ltd,"Pencarn Way, Duffryn, NEWPORT, Gwent, NP10 8XL, UK",1043417,Registered
Asda Pharmacy,Asda Stores Ltd,"Reigate Road, Burgh Heath, TADWORTH, Surrey, KT20 5NZ, UK",1111605,Registered
Asda Pharmacy,Asda Stores Ltd,"Woodall Street, Bloxwich, WALSALL, WS3 3JR, UK",1111606,Registered
Asda Pharmacy,Asda Stores Ltd,"161 High Street, RAMSGATE, Kent, CT11 9TT, UK",1111607,Registered
Asda Pharmacy,Asda Stores Ltd,"Silver Street, Lowesmoor, WORCESTER, WR1 2DA, UK",1111608,Registered
Asda Pharmacy,Asda Stores Ltd,"Breck Road, Everton, LIVERPOOL, L5 6PX, UK",1112268,Registered
Asda Pharmacy,Asda Stores Ltd,"Cromwell Road, ST. AUSTELL, Cornwall, PL25 4PR, UK",1112269,Registered
Asda Pharmacy,Asda Stores Ltd,"St. Lawrence Way, Darlaston, WEDNESBURY, West Midlands, WS10 8UZ, UK",1112309,Registered
Asda Pharmacy,Asda Stores Ltd,"Unit 5, Newcastle Shopping Centre, Fossway Byker, NEWCASTLE UPON TYNE, NE6 2XP, UK",1109708,Registered
Asda Pharmacy,Asda Stores Ltd,"Handsworth Road, Handsworth, SHEFFIELD, S13 9BN, UK",1109648,Registered
Asda Pharmacy,Asda Stores Ltd,"222 Grange Road, BIRKENHEAD, Merseyside, CH41 6EB, UK",1109649,Registered
Asda Pharmacy,Asda Stores Ltd,"Lombard Street, NEWARK, Nottinghamshire, NG24 1XG, UK",1110269,Registered
Asda Pharmacy,Asda Stores Ltd,"Newark Road, North Hykeham, LINCOLN, LN6 8JY, UK",1108648,Registered
